id	hate_type	hate_severity	to_whom	model
638113	Profane	Severe	Community	csebuetnlp/banglabert
788538	None	Little to None	None	csebuetnlp/banglabert
677410	None	Little to None	None	csebuetnlp/banglabert
194546	Abusive	Little to None	Individual	csebuetnlp/banglabert
645529	Political Hate	Mild	Individual	csebuetnlp/banglabert
924142	None	Little to None	None	csebuetnlp/banglabert
69380	Political Hate	Mild	Organization	csebuetnlp/banglabert
748478	None	Little to None	None	csebuetnlp/banglabert
645018	Abusive	Little to None	None	csebuetnlp/banglabert
295794	None	Little to None	None	csebuetnlp/banglabert
63426	Abusive	Mild	Community	csebuetnlp/banglabert
63116	Political Hate	Severe	Organization	csebuetnlp/banglabert
551400	None	Little to None	None	csebuetnlp/banglabert
835607	Abusive	Severe	Organization	csebuetnlp/banglabert
103869	None	Little to None	None	csebuetnlp/banglabert
562502	Political Hate	Little to None	Organization	csebuetnlp/banglabert
472928	None	Little to None	None	csebuetnlp/banglabert
319508	None	Little to None	None	csebuetnlp/banglabert
545961	None	Little to None	None	csebuetnlp/banglabert
698843	None	Little to None	None	csebuetnlp/banglabert
590762	None	Little to None	None	csebuetnlp/banglabert
878482	None	Little to None	None	csebuetnlp/banglabert
451314	Abusive	Mild	Community	csebuetnlp/banglabert
88129	Profane	Severe	Organization	csebuetnlp/banglabert
189525	Abusive	Little to None	None	csebuetnlp/banglabert
379097	Abusive	Mild	Organization	csebuetnlp/banglabert
864667	None	Little to None	None	csebuetnlp/banglabert
780940	None	Little to None	None	csebuetnlp/banglabert
577465	Abusive	Severe	Individual	csebuetnlp/banglabert
201744	None	Little to None	None	csebuetnlp/banglabert
5641	Abusive	Little to None	None	csebuetnlp/banglabert
110529	Political Hate	Mild	Organization	csebuetnlp/banglabert
732060	None	Little to None	None	csebuetnlp/banglabert
899521	None	Little to None	None	csebuetnlp/banglabert
217414	Abusive	Mild	Organization	csebuetnlp/banglabert
364331	Abusive	Mild	Organization	csebuetnlp/banglabert
220584	None	Little to None	None	csebuetnlp/banglabert
521448	None	Little to None	None	csebuetnlp/banglabert
235213	Profane	Severe	Individual	csebuetnlp/banglabert
288321	Abusive	Little to None	Individual	csebuetnlp/banglabert
444659	None	Little to None	None	csebuetnlp/banglabert
288470	Political Hate	Mild	Organization	csebuetnlp/banglabert
602580	None	Little to None	None	csebuetnlp/banglabert
505064	Abusive	Little to None	Individual	csebuetnlp/banglabert
220958	None	Little to None	None	csebuetnlp/banglabert
208873	None	Little to None	None	csebuetnlp/banglabert
905717	Abusive	Severe	Individual	csebuetnlp/banglabert
753381	None	Little to None	None	csebuetnlp/banglabert
189967	Political Hate	Mild	Organization	csebuetnlp/banglabert
55334	Profane	Severe	Individual	csebuetnlp/banglabert
585271	None	Little to None	None	csebuetnlp/banglabert
284428	Political Hate	Mild	Organization	csebuetnlp/banglabert
333828	None	Little to None	None	csebuetnlp/banglabert
268077	Political Hate	Mild	Organization	csebuetnlp/banglabert
791784	Political Hate	Little to None	None	csebuetnlp/banglabert
29385	None	Little to None	None	csebuetnlp/banglabert
721154	None	Little to None	None	csebuetnlp/banglabert
53445	None	Little to None	None	csebuetnlp/banglabert
849367	None	Little to None	None	csebuetnlp/banglabert
776247	None	Little to None	None	csebuetnlp/banglabert
194347	Profane	Severe	Individual	csebuetnlp/banglabert
875084	None	Little to None	None	csebuetnlp/banglabert
429185	None	Little to None	None	csebuetnlp/banglabert
869559	None	Little to None	None	csebuetnlp/banglabert
551711	None	Little to None	None	csebuetnlp/banglabert
459530	None	Little to None	None	csebuetnlp/banglabert
371844	Abusive	Little to None	Community	csebuetnlp/banglabert
678759	None	Little to None	None	csebuetnlp/banglabert
928871	None	Little to None	None	csebuetnlp/banglabert
938337	None	Little to None	None	csebuetnlp/banglabert
486005	None	Little to None	Individual	csebuetnlp/banglabert
739268	None	Little to None	None	csebuetnlp/banglabert
256855	None	Little to None	None	csebuetnlp/banglabert
57158	None	Little to None	None	csebuetnlp/banglabert
492274	Political Hate	Severe	Organization	csebuetnlp/banglabert
177187	None	Little to None	None	csebuetnlp/banglabert
323380	Profane	Severe	Individual	csebuetnlp/banglabert
736173	Abusive	Little to None	Individual	csebuetnlp/banglabert
655076	None	Little to None	None	csebuetnlp/banglabert
636680	Political Hate	Mild	Organization	csebuetnlp/banglabert
319075	None	Little to None	None	csebuetnlp/banglabert
183674	Political Hate	Mild	Organization	csebuetnlp/banglabert
556548	None	Little to None	None	csebuetnlp/banglabert
268230	Political Hate	Little to None	None	csebuetnlp/banglabert
732875	None	Little to None	None	csebuetnlp/banglabert
212780	Abusive	Mild	Organization	csebuetnlp/banglabert
915594	None	Little to None	None	csebuetnlp/banglabert
187124	Abusive	Mild	Organization	csebuetnlp/banglabert
376637	Abusive	Severe	Individual	csebuetnlp/banglabert
237536	None	Little to None	None	csebuetnlp/banglabert
727320	Profane	Severe	Community	csebuetnlp/banglabert
62305	None	Little to None	None	csebuetnlp/banglabert
518275	None	Little to None	None	csebuetnlp/banglabert
190205	None	Little to None	None	csebuetnlp/banglabert
682947	Political Hate	Little to None	None	csebuetnlp/banglabert
843536	None	Little to None	None	csebuetnlp/banglabert
298286	Political Hate	Severe	Organization	csebuetnlp/banglabert
260368	Political Hate	Severe	Organization	csebuetnlp/banglabert
109120	None	Little to None	None	csebuetnlp/banglabert
732085	None	Little to None	None	csebuetnlp/banglabert
587177	Abusive	Little to None	Individual	csebuetnlp/banglabert
219166	Political Hate	Mild	Individual	csebuetnlp/banglabert
712397	None	Little to None	None	csebuetnlp/banglabert
744608	None	Little to None	None	csebuetnlp/banglabert
839392	None	Little to None	None	csebuetnlp/banglabert
567799	None	Little to None	None	csebuetnlp/banglabert
357344	Abusive	Little to None	Organization	csebuetnlp/banglabert
646789	Political Hate	Mild	Organization	csebuetnlp/banglabert
144730	None	Little to None	None	csebuetnlp/banglabert
606121	None	Little to None	None	csebuetnlp/banglabert
663589	None	Little to None	None	csebuetnlp/banglabert
175058	None	Little to None	None	csebuetnlp/banglabert
602882	Political Hate	Severe	Organization	csebuetnlp/banglabert
865744	None	Little to None	None	csebuetnlp/banglabert
15148	None	Little to None	None	csebuetnlp/banglabert
714172	Profane	Severe	Community	csebuetnlp/banglabert
919656	Profane	Severe	Individual	csebuetnlp/banglabert
641435	None	Little to None	None	csebuetnlp/banglabert
542675	Profane	Severe	Individual	csebuetnlp/banglabert
97962	Profane	Severe	Individual	csebuetnlp/banglabert
35543	Political Hate	Mild	Organization	csebuetnlp/banglabert
249438	None	Little to None	None	csebuetnlp/banglabert
45817	Abusive	Severe	Organization	csebuetnlp/banglabert
846205	Profane	Severe	Individual	csebuetnlp/banglabert
684720	None	Little to None	None	csebuetnlp/banglabert
659930	Profane	Severe	Individual	csebuetnlp/banglabert
446120	None	Little to None	None	csebuetnlp/banglabert
315323	Abusive	Little to None	Individual	csebuetnlp/banglabert
533231	None	Little to None	None	csebuetnlp/banglabert
103313	None	Little to None	None	csebuetnlp/banglabert
484049	None	Little to None	None	csebuetnlp/banglabert
258145	Profane	Severe	Individual	csebuetnlp/banglabert
255461	Abusive	Little to None	Individual	csebuetnlp/banglabert
582412	Political Hate	Mild	Individual	csebuetnlp/banglabert
541719	Abusive	Severe	Community	csebuetnlp/banglabert
400986	None	Little to None	None	csebuetnlp/banglabert
547162	Political Hate	Mild	Organization	csebuetnlp/banglabert
444235	Abusive	Little to None	None	csebuetnlp/banglabert
349790	Political Hate	Mild	Organization	csebuetnlp/banglabert
1698	None	Little to None	None	csebuetnlp/banglabert
733055	None	Little to None	None	csebuetnlp/banglabert
358186	None	Little to None	None	csebuetnlp/banglabert
272026	None	Little to None	None	csebuetnlp/banglabert
843498	None	Little to None	None	csebuetnlp/banglabert
903157	Abusive	Little to None	Individual	csebuetnlp/banglabert
869323	None	Little to None	None	csebuetnlp/banglabert
314731	Abusive	Mild	Individual	csebuetnlp/banglabert
923983	Abusive	Mild	Individual	csebuetnlp/banglabert
467220	None	Little to None	None	csebuetnlp/banglabert
203763	Abusive	Mild	Individual	csebuetnlp/banglabert
254343	Abusive	Mild	Organization	csebuetnlp/banglabert
753995	None	Little to None	None	csebuetnlp/banglabert
577269	None	Little to None	None	csebuetnlp/banglabert
140440	None	Little to None	None	csebuetnlp/banglabert
327128	Abusive	Little to None	Community	csebuetnlp/banglabert
742109	None	Little to None	None	csebuetnlp/banglabert
339941	None	Little to None	None	csebuetnlp/banglabert
648055	None	Little to None	None	csebuetnlp/banglabert
271686	None	Little to None	None	csebuetnlp/banglabert
167523	Abusive	Little to None	None	csebuetnlp/banglabert
565237	None	Little to None	Individual	csebuetnlp/banglabert
326583	Profane	Severe	Individual	csebuetnlp/banglabert
521049	None	Little to None	None	csebuetnlp/banglabert
635150	None	Little to None	None	csebuetnlp/banglabert
667038	None	Little to None	None	csebuetnlp/banglabert
533234	None	Little to None	None	csebuetnlp/banglabert
49935	Abusive	Severe	Organization	csebuetnlp/banglabert
132749	None	Little to None	None	csebuetnlp/banglabert
526931	None	Little to None	None	csebuetnlp/banglabert
120887	None	Little to None	None	csebuetnlp/banglabert
148965	Abusive	Little to None	None	csebuetnlp/banglabert
785355	None	Little to None	None	csebuetnlp/banglabert
904080	None	Little to None	None	csebuetnlp/banglabert
242296	Abusive	Mild	Community	csebuetnlp/banglabert
505804	None	Little to None	None	csebuetnlp/banglabert
28164	None	Little to None	None	csebuetnlp/banglabert
287563	Profane	Severe	Individual	csebuetnlp/banglabert
866300	None	Little to None	None	csebuetnlp/banglabert
846915	None	Little to None	None	csebuetnlp/banglabert
363471	None	Little to None	Individual	csebuetnlp/banglabert
376108	Political Hate	Little to None	Society	csebuetnlp/banglabert
725247	None	Little to None	None	csebuetnlp/banglabert
917058	Abusive	Little to None	Individual	csebuetnlp/banglabert
936170	None	Little to None	None	csebuetnlp/banglabert
632147	None	Little to None	None	csebuetnlp/banglabert
71795	Profane	Severe	Individual	csebuetnlp/banglabert
886268	Abusive	Little to None	None	csebuetnlp/banglabert
22299	Abusive	Little to None	None	csebuetnlp/banglabert
727182	None	Little to None	None	csebuetnlp/banglabert
565081	None	Little to None	None	csebuetnlp/banglabert
599305	Abusive	Little to None	None	csebuetnlp/banglabert
443980	None	Little to None	None	csebuetnlp/banglabert
765765	None	Little to None	None	csebuetnlp/banglabert
473418	None	Little to None	None	csebuetnlp/banglabert
544646	None	Little to None	None	csebuetnlp/banglabert
351344	Abusive	Little to None	Organization	csebuetnlp/banglabert
697214	Abusive	Little to None	None	csebuetnlp/banglabert
371187	None	Little to None	None	csebuetnlp/banglabert
121250	Political Hate	Little to None	Organization	csebuetnlp/banglabert
20874	None	Little to None	None	csebuetnlp/banglabert
850266	None	Little to None	None	csebuetnlp/banglabert
439950	Abusive	Little to None	Individual	csebuetnlp/banglabert
427668	None	Little to None	None	csebuetnlp/banglabert
60444	None	Little to None	None	csebuetnlp/banglabert
659301	None	Little to None	None	csebuetnlp/banglabert
592983	None	Little to None	None	csebuetnlp/banglabert
827694	Abusive	Little to None	Community	csebuetnlp/banglabert
566134	Profane	Severe	Individual	csebuetnlp/banglabert
355167	None	Little to None	None	csebuetnlp/banglabert
350908	None	Little to None	Individual	csebuetnlp/banglabert
332323	None	Little to None	None	csebuetnlp/banglabert
454987	Profane	Severe	Community	csebuetnlp/banglabert
170966	None	Little to None	None	csebuetnlp/banglabert
56299	Abusive	Mild	Individual	csebuetnlp/banglabert
53232	None	Little to None	None	csebuetnlp/banglabert
649211	None	Little to None	None	csebuetnlp/banglabert
390308	None	Little to None	None	csebuetnlp/banglabert
488779	None	Little to None	None	csebuetnlp/banglabert
215984	Political Hate	Mild	Organization	csebuetnlp/banglabert
628026	Abusive	Little to None	Individual	csebuetnlp/banglabert
368087	None	Little to None	None	csebuetnlp/banglabert
875776	Abusive	Little to None	None	csebuetnlp/banglabert
831832	Political Hate	Mild	Organization	csebuetnlp/banglabert
569593	Political Hate	Mild	Organization	csebuetnlp/banglabert
469197	None	Little to None	None	csebuetnlp/banglabert
390574	None	Little to None	None	csebuetnlp/banglabert
436078	Abusive	Mild	Organization	csebuetnlp/banglabert
72621	Political Hate	Mild	Organization	csebuetnlp/banglabert
265323	None	Little to None	None	csebuetnlp/banglabert
476101	Profane	Severe	Individual	csebuetnlp/banglabert
104541	Political Hate	Mild	Organization	csebuetnlp/banglabert
446025	Abusive	Severe	Organization	csebuetnlp/banglabert
731432	Abusive	Severe	Community	csebuetnlp/banglabert
162796	Abusive	Little to None	None	csebuetnlp/banglabert
120013	None	Little to None	None	csebuetnlp/banglabert
836767	None	Little to None	None	csebuetnlp/banglabert
843079	None	Little to None	None	csebuetnlp/banglabert
97007	None	Little to None	None	csebuetnlp/banglabert
328435	Political Hate	Mild	Individual	csebuetnlp/banglabert
779718	Abusive	Mild	Community	csebuetnlp/banglabert
419606	None	Little to None	None	csebuetnlp/banglabert
920869	Abusive	Mild	Community	csebuetnlp/banglabert
664800	Political Hate	Mild	Organization	csebuetnlp/banglabert
98071	None	Little to None	None	csebuetnlp/banglabert
842810	Abusive	Severe	Community	csebuetnlp/banglabert
19398	Political Hate	Little to None	Organization	csebuetnlp/banglabert
564701	Abusive	Little to None	Individual	csebuetnlp/banglabert
573270	None	Little to None	None	csebuetnlp/banglabert
593127	Political Hate	Little to None	Society	csebuetnlp/banglabert
102435	None	Little to None	None	csebuetnlp/banglabert
256050	None	Little to None	None	csebuetnlp/banglabert
81593	None	Little to None	None	csebuetnlp/banglabert
632323	None	Little to None	None	csebuetnlp/banglabert
825656	None	Little to None	None	csebuetnlp/banglabert
566899	None	Little to None	None	csebuetnlp/banglabert
510731	None	Little to None	None	csebuetnlp/banglabert
384979	None	Little to None	None	csebuetnlp/banglabert
144849	None	Little to None	None	csebuetnlp/banglabert
79787	None	Little to None	None	csebuetnlp/banglabert
910730	None	Little to None	None	csebuetnlp/banglabert
363532	None	Little to None	None	csebuetnlp/banglabert
620917	None	Little to None	None	csebuetnlp/banglabert
600432	None	Little to None	None	csebuetnlp/banglabert
581971	None	Little to None	None	csebuetnlp/banglabert
685765	Political Hate	Mild	Organization	csebuetnlp/banglabert
706846	None	Little to None	None	csebuetnlp/banglabert
266829	Political Hate	Severe	Individual	csebuetnlp/banglabert
557555	None	Little to None	None	csebuetnlp/banglabert
496625	Abusive	Little to None	None	csebuetnlp/banglabert
178872	None	Little to None	None	csebuetnlp/banglabert
711143	None	Little to None	None	csebuetnlp/banglabert
332460	None	Little to None	None	csebuetnlp/banglabert
29919	Political Hate	Mild	Organization	csebuetnlp/banglabert
655611	None	Little to None	None	csebuetnlp/banglabert
669537	None	Little to None	None	csebuetnlp/banglabert
208251	Profane	Severe	Individual	csebuetnlp/banglabert
866998	Abusive	Mild	Society	csebuetnlp/banglabert
143177	None	Little to None	None	csebuetnlp/banglabert
769023	None	Little to None	None	csebuetnlp/banglabert
396646	Abusive	Mild	Community	csebuetnlp/banglabert
225407	Abusive	Mild	None	csebuetnlp/banglabert
359767	None	Little to None	None	csebuetnlp/banglabert
123345	Political Hate	Mild	Organization	csebuetnlp/banglabert
283543	Abusive	Mild	Individual	csebuetnlp/banglabert
542107	None	Little to None	None	csebuetnlp/banglabert
152502	None	Little to None	None	csebuetnlp/banglabert
146539	None	Little to None	None	csebuetnlp/banglabert
357373	None	Little to None	None	csebuetnlp/banglabert
25777	None	Little to None	None	csebuetnlp/banglabert
746972	None	Little to None	None	csebuetnlp/banglabert
270762	Abusive	Mild	Community	csebuetnlp/banglabert
558844	None	Little to None	None	csebuetnlp/banglabert
740225	None	Little to None	None	csebuetnlp/banglabert
886666	None	Little to None	None	csebuetnlp/banglabert
606932	None	Little to None	None	csebuetnlp/banglabert
209217	Political Hate	Little to None	Organization	csebuetnlp/banglabert
777488	None	Little to None	None	csebuetnlp/banglabert
130669	Profane	Severe	Community	csebuetnlp/banglabert
762285	Abusive	Mild	Society	csebuetnlp/banglabert
685431	None	Little to None	None	csebuetnlp/banglabert
771815	None	Little to None	None	csebuetnlp/banglabert
252415	Profane	Severe	Individual	csebuetnlp/banglabert
687596	None	Little to None	None	csebuetnlp/banglabert
242766	Abusive	Little to None	Individual	csebuetnlp/banglabert
447554	None	Little to None	None	csebuetnlp/banglabert
427243	Abusive	Little to None	None	csebuetnlp/banglabert
140278	None	Little to None	None	csebuetnlp/banglabert
401449	None	Little to None	None	csebuetnlp/banglabert
765938	Political Hate	Little to None	Society	csebuetnlp/banglabert
133168	None	Little to None	None	csebuetnlp/banglabert
306158	Abusive	Severe	Individual	csebuetnlp/banglabert
637422	None	Little to None	None	csebuetnlp/banglabert
663885	None	Little to None	None	csebuetnlp/banglabert
291989	None	Little to None	None	csebuetnlp/banglabert
298326	None	Little to None	None	csebuetnlp/banglabert
799266	None	Little to None	None	csebuetnlp/banglabert
779258	Political Hate	Little to None	None	csebuetnlp/banglabert
546084	None	Little to None	None	csebuetnlp/banglabert
781242	Abusive	Little to None	None	csebuetnlp/banglabert
602262	None	Little to None	None	csebuetnlp/banglabert
773036	None	Little to None	None	csebuetnlp/banglabert
377308	None	Little to None	None	csebuetnlp/banglabert
142631	Political Hate	Mild	Organization	csebuetnlp/banglabert
895459	None	Little to None	None	csebuetnlp/banglabert
787010	None	Little to None	None	csebuetnlp/banglabert
645662	None	Little to None	None	csebuetnlp/banglabert
45403	None	Little to None	None	csebuetnlp/banglabert
267853	None	Little to None	None	csebuetnlp/banglabert
917758	None	Little to None	None	csebuetnlp/banglabert
426332	None	Little to None	None	csebuetnlp/banglabert
422595	None	Little to None	None	csebuetnlp/banglabert
691331	None	Little to None	None	csebuetnlp/banglabert
610080	None	Little to None	None	csebuetnlp/banglabert
501233	None	Little to None	None	csebuetnlp/banglabert
131294	None	Little to None	None	csebuetnlp/banglabert
815428	None	Little to None	None	csebuetnlp/banglabert
195149	Political Hate	Mild	Organization	csebuetnlp/banglabert
207721	Political Hate	Little to None	None	csebuetnlp/banglabert
416773	None	Little to None	None	csebuetnlp/banglabert
313335	Abusive	Little to None	Individual	csebuetnlp/banglabert
329274	None	Little to None	None	csebuetnlp/banglabert
508798	Profane	Severe	Individual	csebuetnlp/banglabert
868978	None	Little to None	None	csebuetnlp/banglabert
310124	None	Little to None	None	csebuetnlp/banglabert
785154	None	Little to None	None	csebuetnlp/banglabert
535201	None	Little to None	None	csebuetnlp/banglabert
626322	None	Little to None	None	csebuetnlp/banglabert
890167	Profane	Severe	Individual	csebuetnlp/banglabert
184776	Political Hate	Mild	Individual	csebuetnlp/banglabert
390461	Abusive	Little to None	Society	csebuetnlp/banglabert
503090	Abusive	Little to None	None	csebuetnlp/banglabert
461035	Abusive	Mild	None	csebuetnlp/banglabert
619709	None	Little to None	None	csebuetnlp/banglabert
890283	Political Hate	Mild	Organization	csebuetnlp/banglabert
132888	None	Little to None	None	csebuetnlp/banglabert
17079	None	Little to None	None	csebuetnlp/banglabert
218300	Political Hate	Little to None	None	csebuetnlp/banglabert
345231	None	Little to None	None	csebuetnlp/banglabert
285893	None	Little to None	None	csebuetnlp/banglabert
632928	None	Little to None	None	csebuetnlp/banglabert
479465	None	Little to None	None	csebuetnlp/banglabert
2602	Profane	Severe	Community	csebuetnlp/banglabert
85641	None	Little to None	None	csebuetnlp/banglabert
682701	None	Little to None	None	csebuetnlp/banglabert
436258	Abusive	Mild	Individual	csebuetnlp/banglabert
114639	None	Little to None	None	csebuetnlp/banglabert
674071	Political Hate	Mild	Individual	csebuetnlp/banglabert
244282	None	Little to None	None	csebuetnlp/banglabert
318350	None	Little to None	None	csebuetnlp/banglabert
553375	Political Hate	Mild	Society	csebuetnlp/banglabert
135830	Abusive	Little to None	None	csebuetnlp/banglabert
260169	Political Hate	Severe	Individual	csebuetnlp/banglabert
553667	None	Little to None	None	csebuetnlp/banglabert
183040	Abusive	Severe	Individual	csebuetnlp/banglabert
680751	None	Little to None	None	csebuetnlp/banglabert
274955	Political Hate	Mild	Organization	csebuetnlp/banglabert
370027	None	Little to None	None	csebuetnlp/banglabert
121905	None	Little to None	None	csebuetnlp/banglabert
440653	None	Little to None	None	csebuetnlp/banglabert
732217	Political Hate	Little to None	None	csebuetnlp/banglabert
618508	Profane	Severe	Organization	csebuetnlp/banglabert
90671	None	Little to None	None	csebuetnlp/banglabert
322046	None	Little to None	None	csebuetnlp/banglabert
843688	Profane	Severe	Individual	csebuetnlp/banglabert
645379	Profane	Severe	Individual	csebuetnlp/banglabert
228279	Profane	Severe	Individual	csebuetnlp/banglabert
26128	Political Hate	Little to None	Society	csebuetnlp/banglabert
95316	Political Hate	Severe	Organization	csebuetnlp/banglabert
161304	None	Little to None	None	csebuetnlp/banglabert
770118	None	Little to None	None	csebuetnlp/banglabert
219678	Political Hate	Mild	Organization	csebuetnlp/banglabert
783494	None	Little to None	None	csebuetnlp/banglabert
422409	None	Little to None	None	csebuetnlp/banglabert
38646	None	Little to None	None	csebuetnlp/banglabert
231486	Profane	Severe	Individual	csebuetnlp/banglabert
443053	None	Little to None	None	csebuetnlp/banglabert
97738	Political Hate	Mild	Organization	csebuetnlp/banglabert
493860	None	Little to None	None	csebuetnlp/banglabert
67696	None	Little to None	None	csebuetnlp/banglabert
547919	Abusive	Little to None	None	csebuetnlp/banglabert
339308	None	Little to None	None	csebuetnlp/banglabert
43011	None	Little to None	None	csebuetnlp/banglabert
795119	None	Little to None	None	csebuetnlp/banglabert
292726	None	Little to None	None	csebuetnlp/banglabert
180440	None	Little to None	None	csebuetnlp/banglabert
198740	Abusive	Little to None	Individual	csebuetnlp/banglabert
773993	None	Little to None	None	csebuetnlp/banglabert
190166	Abusive	Little to None	Individual	csebuetnlp/banglabert
201671	Political Hate	Severe	Individual	csebuetnlp/banglabert
857416	Political Hate	Mild	Organization	csebuetnlp/banglabert
926290	None	Little to None	None	csebuetnlp/banglabert
19835	None	Little to None	None	csebuetnlp/banglabert
359775	Abusive	Severe	Community	csebuetnlp/banglabert
625911	Abusive	Little to None	None	csebuetnlp/banglabert
324644	None	Little to None	None	csebuetnlp/banglabert
561231	None	Little to None	None	csebuetnlp/banglabert
486277	None	Little to None	None	csebuetnlp/banglabert
699555	Abusive	Little to None	None	csebuetnlp/banglabert
796009	None	Little to None	None	csebuetnlp/banglabert
442802	None	Little to None	None	csebuetnlp/banglabert
345862	None	Little to None	None	csebuetnlp/banglabert
577567	Political Hate	Severe	Individual	csebuetnlp/banglabert
917536	None	Little to None	None	csebuetnlp/banglabert
465219	None	Little to None	None	csebuetnlp/banglabert
202537	None	Little to None	None	csebuetnlp/banglabert
810678	Abusive	Little to None	Individual	csebuetnlp/banglabert
471847	Profane	Severe	Individual	csebuetnlp/banglabert
451450	None	Little to None	None	csebuetnlp/banglabert
231023	None	Little to None	None	csebuetnlp/banglabert
464828	None	Little to None	None	csebuetnlp/banglabert
736021	None	Little to None	None	csebuetnlp/banglabert
17036	Abusive	Little to None	None	csebuetnlp/banglabert
676426	None	Little to None	None	csebuetnlp/banglabert
351306	None	Little to None	None	csebuetnlp/banglabert
628567	None	Little to None	None	csebuetnlp/banglabert
495615	None	Little to None	None	csebuetnlp/banglabert
248858	Political Hate	Mild	Organization	csebuetnlp/banglabert
323407	None	Little to None	None	csebuetnlp/banglabert
800267	None	Little to None	None	csebuetnlp/banglabert
924086	None	Little to None	None	csebuetnlp/banglabert
332310	None	Little to None	None	csebuetnlp/banglabert
2399	Abusive	Mild	Community	csebuetnlp/banglabert
642008	Political Hate	Mild	Organization	csebuetnlp/banglabert
579150	None	Little to None	None	csebuetnlp/banglabert
532008	Profane	Severe	Individual	csebuetnlp/banglabert
920515	Profane	Severe	Community	csebuetnlp/banglabert
928170	None	Little to None	None	csebuetnlp/banglabert
115600	None	Little to None	None	csebuetnlp/banglabert
160611	None	Little to None	None	csebuetnlp/banglabert
57343	Abusive	Severe	Organization	csebuetnlp/banglabert
233245	None	Little to None	Individual	csebuetnlp/banglabert
160063	Profane	Severe	Individual	csebuetnlp/banglabert
215216	Political Hate	Little to None	None	csebuetnlp/banglabert
259716	Political Hate	Mild	Organization	csebuetnlp/banglabert
24649	Political Hate	Mild	Organization	csebuetnlp/banglabert
236647	None	Little to None	None	csebuetnlp/banglabert
890600	Abusive	Mild	Organization	csebuetnlp/banglabert
818229	None	Little to None	None	csebuetnlp/banglabert
181400	Political Hate	Mild	Organization	csebuetnlp/banglabert
184128	None	Little to None	None	csebuetnlp/banglabert
732571	None	Little to None	None	csebuetnlp/banglabert
803103	Profane	Severe	Individual	csebuetnlp/banglabert
103559	Abusive	Little to None	Individual	csebuetnlp/banglabert
104069	Abusive	Little to None	Individual	csebuetnlp/banglabert
532685	None	Little to None	None	csebuetnlp/banglabert
860196	None	Little to None	None	csebuetnlp/banglabert
207034	None	Little to None	None	csebuetnlp/banglabert
852222	Abusive	Little to None	Individual	csebuetnlp/banglabert
620269	None	Little to None	None	csebuetnlp/banglabert
214987	Political Hate	Mild	Organization	csebuetnlp/banglabert
390209	Profane	Severe	Community	csebuetnlp/banglabert
828144	Abusive	Mild	Society	csebuetnlp/banglabert
355435	None	Little to None	None	csebuetnlp/banglabert
280909	Abusive	Little to None	None	csebuetnlp/banglabert
648822	None	Little to None	None	csebuetnlp/banglabert
469956	None	Little to None	None	csebuetnlp/banglabert
491045	Profane	Severe	Individual	csebuetnlp/banglabert
853713	None	Little to None	None	csebuetnlp/banglabert
759980	None	Little to None	None	csebuetnlp/banglabert
569003	Abusive	Mild	Individual	csebuetnlp/banglabert
803693	Abusive	Mild	Society	csebuetnlp/banglabert
481481	None	Little to None	None	csebuetnlp/banglabert
